자치구,행정동,가스사용량,가스사용비율
강남구,개포1동,2604,0.4900955159271632
강남구,개포2동,4140,0.8331795998457074
강남구,개포4동,6642,0.8485829269850733
강남구,논현1동,15780,1.1180058214709547
강남구,논현2동,12592,1.1224483731986332
강남구,대치1동,6675,0.8982338099243061
강남구,대치2동,11877,0.876779408688805
강남구,대치4동,9128,0.8995245173317128
강남구,도곡1동,7888,0.925613369449361
강남구,도곡2동,11075,0.9252683904925018
강남구,삼성1동,6145,1.0501132139958131
강남구,삼성2동,13749,1.055119620896725
강남구,세곡동,13249,0.7675388626050014
강남구,수서동,7031,0.8952411268502308
강남구,신사동,7217,0.9534630247382502
강남구,압구정동,9117,0.8507309486780716
강남구,역삼1동,24205,1.0587360486393094
강남구,역삼2동,15682,1.05144236410265
강남구,일원1동,6419,0.8470386417119355
강남구,일원2동,5659,0.8670803646671263
강남구,일원본동,6987,0.8408869811150447
강남구,청담동,10799,0.8840287063061096
강동구,강일동,10936,0.9747749353774846
강동구,고덕1동,5519,0.6056294237064944
강동구,고덕2동,2026,0.5715897869939343
강동구,길동,20180,0.9685857591974849
강동구,둔촌1동,161,0.7069154774972558
강동구,둔촌2동,9770,0.8755657122373078
강동구,명일1동,5519,0.6743508807657062
강동구,명일2동,3979,0.6749406310075766
강동구,상일동,3655,0.8810413402434615
강동구,성내1동,8033,0.9841749535458313
강동구,성내2동,12177,0.9845303867403314
강동구,성내3동,9995,0.9785907770634118
강동구,암사1동,15543,0.9527351112791095
강동구,암사2동,5607,0.9512929632823878
강동구,암사3동,6061,0.9589557650471355
강동구,천호1동,12181,0.9424006808247263
강동구,천호2동,16668,0.9495542199561341
강동구,천호3동,12879,0.95991354144669
강북구,미아동,11764,1.0546416244564973
강북구,번1동,11063,1.0974381866428589
강북구,번2동,7353,0.975112722128901
강북구,번3동,7105,0.9327615255016082
강북구,삼각산동,11332,0.9532301480484522
강북구,삼양동,10858,0.8880104683495992
강북구,송중동,13057,0.9990690556653702
강북구,송천동,13364,0.9702044248697768
강북구,수유1동,10047,0.9778340105598676
강북구,수유2동,9368,0.9844472467423288
강북구,수유3동,12876,1.0522043501355163
강북구,우이동,9014,0.9553873466467643
강북구,인수동,14050,0.9808883846758006
강서구,가양1동,18363,1.0255126260040768
강서구,가양2동,7194,0.8871259454126932
강서구,가양3동,7647,0.9832313643133431
강서구,공항동,10565,0.8429185005917317
강서구,등촌1동,10146,0.8720740337506804
강서구,등촌2동,8608,1.0090653329165364
강서구,등촌3동,14197,0.9639898601240324
강서구,발산1동,10721,0.7999701531516407
강서구,방화1동,11726,0.6773336414048059
강서구,방화2동,11695,1.0200758842256756
강서구,방화3동,10863,0.9657216093878488
강서구,염창동,13615,0.9431772916991392
강서구,우장산동,16251,0.9846206666733988
강서구,화곡1동,25665,1.005235397028488
강서구,화곡2동,8452,1.0248264573039498
강서구,화곡3동,8738,0.9547900674734341
강서구,화곡4동,10039,1.0243616234279738
강서구,화곡6동,10635,0.9751512928663121
강서구,화곡8동,11451,0.9916933091806616
강서구,화곡본동,16260,1.01389480685491
관악구,낙성대동,10288,0.9780939780226746
관악구,난곡동,13337,1.0409839797584282
관악구,난향동,6344,0.9839218321873545
관악구,남현동,8842,0.9706084140618568
관악구,대학동,12606,0.8128314661078423
관악구,미성동,13857,0.9855268304825575
관악구,보라매동,12238,1.0312342003258244
관악구,삼성동,10276,0.8896520377758699
관악구,서림동,11846,0.8363259831030992
관악구,서원동,13525,1.0325281352783628
관악구,성현동,12503,0.9615781479321417
관악구,신림동,15171,0.9674148705522255
관악구,신사동,15036,1.1795716639209226
관악구,신원동,11381,1.1213176130579001
관악구,은천동,15085,0.977498420515479
관악구,인헌동,12658,0.9141275238467788
관악구,조원동,10920,1.090409819013938
관악구,중앙동,9083,1.0279829103358515
관악구,청룡동,18387,1.034760261124034
관악구,청림동,6383,0.9659381817723244
관악구,행운동,15350,0.9226376818853466
광진구,광장동,11296,0.9439291384641096
광진구,구의1동,12537,1.0883914748310737
광진구,구의2동,10974,1.014420410427066
광진구,구의3동,11432,0.9427222562002212
광진구,군자동,11979,1.1580066702112233
광진구,능동,6455,1.0558887677208288
광진구,자양1동,11545,1.0176064872964456
광진구,자양2동,11127,0.987968923418424
광진구,자양3동,10574,0.9568725632885141
광진구,자양4동,12778,1.2446609034457567
광진구,중곡1동,8089,1.0371510081097541
광진구,중곡2동,10201,0.9982792787649951
광진구,중곡3동,8332,0.9900386176849192
광진구,중곡4동,12796,0.9715283577556754
광진구,화양동,20176,1.3255443441317047
구로구,가리봉동,9676,1.634229415904293
구로구,개봉1동,13925,0.9964281241987132
구로구,개봉2동,12669,0.9958209424495303
구로구,개봉3동,8610,0.9879329138857548
구로구,고척1동,9233,0.9712727814645007
구로구,고척2동,11571,0.9899615000712961
구로구,구로1동,7145,0.9119724302246426
구로구,구로2동,18208,1.4098881102636571
구로구,구로3동,11309,0.834479111581174
구로구,구로4동,12770,1.1964117017871223
구로구,구로5동,16988,1.1876467401119741
구로구,수궁동,9562,0.9745127181621299
구로구,신도림동,13467,1.0111878660459528
구로구,오류1동,9834,0.954587371179887
구로구,오류2동,16821,1.0076276432179867
금천구,가산동,14366,1.130016977260958
금천구,독산1동,17703,1.010512496075652
금천구,독산2동,10386,1.1055306692686389
금천구,독산3동,14742,1.2081378434305148
금천구,독산4동,8728,1.139512364953815
금천구,시흥1동,16469,1.0714216010495843
금천구,시흥2동,7863,0.9209506612659217
금천구,시흥3동,4639,0.978864075962722
금천구,시흥4동,9337,1.0180542809635007
금천구,시흥5동,9563,1.020026132636463
노원구,공릉1동,18666,1.0409324113316976
노원구,공릉2동,15559,0.9663725058875289
노원구,상계10동,5676,0.8506875491775638
노원구,상계1동,14548,0.9286698406787776
노원구,상계2동,8331,0.9523410335794238
노원구,상계3.4동,11398,0.9607282586554469
노원구,상계5동,8771,0.7869602601966429
노원구,상계6.7동,12086,0.8589907604832978
노원구,상계8동,7809,0.8399709575927071
노원구,상계9동,7276,0.8539655526539714
노원구,월계1동,8879,0.850180332577958
노원구,월계2동,13294,1.180735554256193
노원구,월계3동,12381,0.9517379216686097
노원구,중계1동,7752,0.848619752230473
노원구,중계2.3동,13654,0.8804866514767207
노원구,중계4동,7683,0.9092845730516599
노원구,중계본동,7572,0.8186240945619663
노원구,하계1동,9924,0.8076171875
노원구,하계2동,7061,0.8454852969057146
도봉구,도봉1동,10134,0.9844489957823669
도봉구,도봉2동,10982,0.9100916417477539
도봉구,방학1동,12671,1.0000131535679053
도봉구,방학2동,9386,0.979749478079332
도봉구,방학3동,10054,0.9907126844529845
도봉구,쌍문1동,9259,1.0152412280701755
도봉구,쌍문2동,9429,1.0938938087319696
도봉구,쌍문3동,8084,1.0582075224714198
도봉구,쌍문4동,7053,0.982494427934621
도봉구,창1동,10280,0.9432130104674012
도봉구,창2동,12349,0.997925870057106
도봉구,창3동,6440,0.9663865546218487
도봉구,창4동,9095,0.8609835755194775
도봉구,창5동,9856,0.9964698250077934
동대문구,답십리1동,13355,1.1717053555108756
동대문구,답십리2동,10748,0.8951817765377087
동대문구,용신동,17652,1.077831148742164
동대문구,이문1동,16939,1.210288776421554
동대문구,이문2동,8885,1.0219299927155618
동대문구,장안1동,17685,1.0337118057077725
동대문구,장안2동,12087,0.9584363064479893
동대문구,전농1동,13637,0.9579460041679351
동대문구,전농2동,7337,0.957791218832949
동대문구,제기동,14555,1.1428160148658992
동대문구,청량리동,9571,0.9098124955440956
동대문구,회기동,8372,1.4253245371355607
동대문구,휘경1동,8713,1.2709348827597944
동대문구,휘경2동,12142,1.091227728556129
동작구,노량진1동,16735,1.1433614210885903
동작구,노량진2동,8433,1.1766703099927909
동작구,대방동,16588,0.9882289861835802
동작구,사당1동,17509,1.4107930624660072
동작구,사당2동,6626,0.5594511873350924
동작구,사당3동,10346,0.9991388953717639
동작구,사당4동,6881,1.018087664139079
동작구,사당5동,5375,0.947470474175921
동작구,상도1동,21070,1.0029353431178105
동작구,상도2동,11721,0.9903884746192357
동작구,상도3동,11352,0.9860943211842629
동작구,상도4동,13067,1.0077507422974588
동작구,신대방1동,11578,1.1682657136850958
동작구,신대방2동,9270,1.0310979283496315
동작구,흑석동,12784,0.9830380314632661
마포구,공덕동,17445,0.9476471786514565
마포구,대흥동,11715,1.6304612565384304
마포구,도화동,10554,1.0963770938839112
마포구,망원1동,10275,0.995085102777038
마포구,망원2동,7931,0.9655564235494639
마포구,상암동,10921,0.8650639629292249
마포구,서강동,12262,1.0650646013535523
마포구,서교동,15290,1.0984261160567292
마포구,성산1동,9391,1.0098482879750523
마포구,성산2동,17091,0.9586874211190576
마포구,신수동,6990,0.7605817707010989
마포구,아현동,17569,1.7127259433770665
마포구,연남동,9534,1.0901398787971186
마포구,용강동,6798,0.7460969296761389
마포구,합정동,9289,0.9681252062742101
서대문구,남가좌1동,5449,0.8958610201537217
서대문구,남가좌2동,11513,1.1255804858972478
서대문구,북가좌1동,6636,0.9450299060096838
서대문구,북가좌2동,14061,0.9547121129820749
서대문구,북아현동,7175,0.9496393355833499
서대문구,신촌동,16294,1.383877132139571
서대문구,연희동,20511,1.1051929682764194
서대문구,천연동,7602,0.9136561670589414
서대문구,충현동,8673,0.9851203998182644
서대문구,홍은1동,3318,0.34023789991796555
서대문구,홍은2동,18540,1.4827551734479656
서대문구,홍제1동,6136,0.6409638134700593
서대문구,홍제2동,8541,1.4623539315422263
서대문구,홍제3동,6984,0.9789510571194954
서초구,내곡동,6648,0.9229914846353202
서초구,반포1동,12942,0.9850439547893595
서초구,반포2동,5751,0.8075262400393162
서초구,반포3동,4206,0.6230726498364298
서초구,반포4동,7005,0.951626232551821
서초구,반포본동,3701,0.8740799055304074
서초구,방배1동,7236,0.9667011789853378
서초구,방배2동,10480,0.9969716668516433
서초구,방배3동,7908,0.9395922651167857
서초구,방배4동,10255,1.0138074210769128
서초구,방배본동,7414,0.9437673042039271
서초구,서초1동,9500,1.0392357059509918
서초구,서초2동,8323,1.0782950423216444
서초구,서초3동,12268,0.9565256940879882
서초구,서초4동,11239,1.0423290646180954
서초구,양재1동,16782,0.9161438833211263
서초구,양재2동,10882,0.989377661267104
서초구,잠원동,18556,1.3324955567922734
성동구,금호1가동,6691,1.0713885404712977
성동구,금호2.3가동,9613,0.9337844838751458
성동구,금호4가동,6209,0.9716364774461093
성동구,마장동,10651,1.0112028861672837
성동구,사근동,4720,0.6791041197064889
성동구,성수1가1동,7287,0.954733049459548
성동구,성수1가2동,7802,1.0713353930655682
성동구,성수2가1동,8217,0.9551319307218412
성동구,성수2가3동,4949,0.8758129451842676
성동구,송정동,6031,1.097326884296393
성동구,옥수동,9963,0.9096968590211834
성동구,왕십리2동,13680,1.7828943795818626
성동구,왕십리도선동,5536,0.48019776931250585
성동구,용답동,8094,1.0051848862119284
성동구,응봉동,5513,0.8843439204363169
성동구,행당1동,11709,1.7441626633895655
성동구,행당2동,8925,0.9418531025749262
성북구,길음1동,11302,0.8696354717707031
성북구,길음2동,3361,0.6713831505002248
성북구,돈암1동,6234,0.9755741317927519
성북구,돈암2동,5985,0.702650347803117
성북구,동선동,9864,1.1135172764132042
성북구,보문동,8075,1.0105118258040295
성북구,삼선동,14103,1.1185459352280238
성북구,석관동,15623,1.0605165801174354
성북구,성북동,7614,0.9501663893510816
성북구,안암동,11143,1.276220472440945
성북구,월곡1동,11904,1.1078641228478363
성북구,월곡2동,10239,1.1564917829107133
성북구,장위1동,8660,0.9656018286224006
성북구,장위2동,6223,0.8577138656620418
성북구,장위3동,4182,0.8557251257566716
성북구,정릉1동,7343,1.0441768971891738
성북구,정릉2동,8666,0.8996937345353244
성북구,정릉3동,6954,0.9184744923229321
성북구,정릉4동,10352,0.9378510599746331
성북구,종암동,18343,1.0782547356973857
송파구,가락1동,408,1.1255172413793104
송파구,가락2동,12036,0.9827646038172353
송파구,가락본동,11779,1.0130439768361905
송파구,거여1동,3199,0.6004598707982044
송파구,거여2동,4247,0.5863727362680351
송파구,마천1동,8542,0.9213014560488946
송파구,마천2동,8092,0.9421261485024595
송파구,문정1동,8455,0.9973165049688891
송파구,문정2동,11596,0.7875978469427606
송파구,방이1동,6638,1.0757927718653775
송파구,방이2동,13810,1.0977815168356972
송파구,삼전동,15795,0.9749247743229689
송파구,석촌동,16653,1.0116639329323855
송파구,송파1동,11657,0.9570411116356397
송파구,송파2동,6951,0.9520613614573347
송파구,오금동,13289,0.8845867956555021
송파구,오륜동,6440,1.069264189058306
송파구,위례동,7315,0.8047821183977704
송파구,잠실2동,12359,1.0249626803781722
송파구,잠실3동,12650,1.0197432504148165
송파구,잠실4동,10646,1.0213215013790622
송파구,잠실6동,6052,1.0247495414138563
송파구,잠실7동,3565,1.0210754946654892
송파구,잠실본동,14968,1.0333091712402058
송파구,장지동,9959,0.744454342151983
송파구,풍납1동,6985,1.0151632593740916
송파구,풍납2동,10725,1.0324412783981518
양천구,목1동,10163,0.9656515748966696
양천구,목2동,12998,1.0119375097316656
양천구,목3동,9723,1.0243362831858407
양천구,목4동,10117,1.0053245667061386
양천구,목5동,13332,0.9821778288015619
양천구,신월1동,10502,1.0352152591241774
양천구,신월2동,8340,0.9580333894930311
양천구,신월3동,8127,0.9872548920360792
양천구,신월4동,6622,0.9587028122624778
양천구,신월5동,6092,0.9523834338644329
양천구,신월6동,2240,0.8612624158923421
양천구,신월7동,8482,0.907359863072315
양천구,신정1동,6758,0.9317630838168552
양천구,신정2동,7029,0.9745242799209732
양천구,신정3동,15821,0.8832913830564304
양천구,신정4동,16108,1.0144907759729185
양천구,신정6동,7823,0.95775222665456
양천구,신정7동,10256,0.9128141989364148
영등포구,당산1동,13587,1.3963909182004264
영등포구,당산2동,11652,0.728728227899559
영등포구,대림1동,8345,1.2428172510083773
영등포구,대림2동,12613,1.8485551674442462
영등포구,대림3동,13906,1.3068320646555776
영등포구,도림동,11189,1.1330824148930783
영등포구,문래동,10701,0.8423552255254388
영등포구,신길1동,10830,1.1523319737542117
영등포구,신길3동,8057,1.130251806130322
영등포구,신길4동,4800,1.0197217009524484
영등포구,신길5동,5396,1.0729589554093688
영등포구,신길6동,8733,1.044055233426983
영등포구,신길7동,6169,0.9015820433813588
영등포구,양평1동,5376,0.6529356396060848
영등포구,양평2동,11515,1.2003857079565297
영등포구,여의동,12391,1.0283414249553924
영등포구,영등포동,16379,1.0653932048307713
영등포구,영등포본동,7604,0.7355565766245072
용산구,남영동,3433,0.6303034012148289
용산구,보광동,7971,1.023497688751926
용산구,서빙고동,5176,0.972444889779559
용산구,용문동,5258,0.986214011066304
용산구,용산2가동,5998,1.082850652183725
용산구,원효로1동,7469,1.038502983604658
용산구,원효로2동,5786,0.9594958749637246
용산구,이촌1동,9470,0.933641151194985
용산구,이촌2동,3501,0.9074062074774834
용산구,이태원1동,4077,1.0542829436483137
용산구,이태원2동,5702,1.1561428112802663
용산구,청파동,11536,1.0889782176037004
용산구,한강로동,9304,0.9966702671820462
용산구,한남동,11718,1.0715559416579032
용산구,효창동,3647,0.971583340733505
용산구,후암동,8268,0.9695690413368514
은평구,갈현1동,10548,0.9474818851428229
은평구,갈현2동,12004,0.9603648170247945
은평구,구산동,12424,0.9756621097201045
은평구,녹번동,14499,0.9731961069470858
은평구,대조동,15519,0.9872765443094345
은평구,불광1동,13044,0.736578089192356
은평구,불광2동,17502,1.2831378299120235
은평구,수색동,4479,0.8486302992026525
은평구,신사1동,11441,1.0043012640449438
은평구,신사2동,9050,0.9971169913877005
은평구,역촌동,19931,0.9598092998430898
은평구,응암1동,10922,0.9723858560978144
은평구,응암2동,7618,0.9111622761115928
은평구,응암3동,12358,0.9942875533027596
은평구,증산동,6450,0.9306016447843024
은평구,진관동,16236,0.8110902959910079
종로구,가회동,2184,1.055072463768116
종로구,교남동,4387,0.9708795160725154
종로구,무악동,2722,0.9040185984722684
종로구,부암동,1766,0.4100063845841314
종로구,사직동,4779,1.0665228468877275
종로구,삼청동,1288,0.9107300689411348
종로구,숭인1동,2624,0.875931901635696
종로구,숭인2동,6689,1.1796657995679203
종로구,이화동,4711,1.0485004729491627
종로구,종로1.2.3.4가동,3566,0.669409464215878
종로구,종로5·6가동,2913,0.9212280932929239
종로구,창신1동,2615,0.865559662382082
종로구,창신2동,4717,1.1163616282739035
종로구,창신3동,2869,0.9976238771370617
종로구,청운효자동,5186,0.9570767266967074
종로구,평창동,8665,1.1443224088217814
종로구,혜화동,11311,1.2390637552033887
중구,광희동,1687,0.580190301501777
중구,다산동,6850,0.9941343653625203
중구,동화동,3934,0.9353860785828925
중구,명동,998,0.7061320754716982
중구,소공동,1150,1.0761072988147222
중구,신당5동,4141,0.9295000093526122
중구,신당동,5940,1.3433088969715243
중구,약수동,7202,0.9229192029217659
중구,을지로동,804,0.6683291770573566
중구,장충동,3525,1.329603319293393
중구,중림동,5169,0.9123374713184679
중구,청구동,6012,0.9311786875935774
중구,필동,3157,1.3929989704368289
중구,황학동,6855,1.071010077337708
중구,회현동,2344,0.7172216839206487
중랑구,망우3동,8337,0.984297520661157
중랑구,망우본동,13732,0.9354276534267338
중랑구,면목2동,12682,1.0397709803707222
중랑구,면목3.8동,12317,0.9789705853131893
중랑구,면목4동,8900,0.9394048676652974
중랑구,면목5동,4325,0.931409497146549
중랑구,면목7동,9760,0.9661293781861977
중랑구,면목본동,17250,0.9892000382299533
중랑구,묵1동,13614,0.9446513241586678
중랑구,묵2동,9102,0.995860610149711
중랑구,상봉1동,9624,0.9507767541801477
중랑구,상봉2동,10771,1.0811091129605621
중랑구,신내1동,13398,0.9218648761775886
중랑구,신내2동,7510,0.834212718689253
중랑구,중화1동,8587,0.9737299667372241
중랑구,중화2동,14314,1.0032474359273884
